instance=HRC102, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2
Algorithm took 23.72s

gen, min, max, mean, std
302, 8182.83703, 9555.92027, 8398.50966, 273.97451
303, 8171.14645, 9924.46456, 8418.26078, 343.33097
304, 8171.14645, 10439.89313, 8408.70309, 377.27874
305, 8171.14645, 28702.69035, 8622.84120, 2048.59860
306, 8171.14645, 11550.29478, 8446.99713, 449.28049
307, 8171.14645, 9796.25278, 8348.75144, 257.10609
308, 8171.14645, 54127.22528, 8835.68351, 4563.42126
309, 8171.14645, 9392.71031, 8315.69579, 238.20640
310, 8158.91905, 33401.09504, 8591.05169, 2515.57528
311, 8147.22848, 9968.72134, 8351.50095, 315.73213
312, 8136.99513, 9095.94468, 8330.90973, 211.98047
313, 8147.22848, 144475.21360, 9784.19443, 13542.60662
314, 8130.03261, 9288.89963, 8338.08396, 247.98647
315, 8130.03261, 90551.33577, 9274.04948, 8202.88177
316, 8147.22848, 10065.59786, 8386.31244, 369.65451
317, 8147.22848, 74217.30279, 9029.09906, 6557.93933
318, 8147.22848, 10058.62699, 8377.32185, 341.97668
319, 8147.22848, 95459.23850, 9304.63456, 8717.28782
320, 8147.22848, 27073.77165, 8486.35278, 1881.86347
321, 8147.22848, 9478.73170, 8347.29215, 296.42891
322, 8147.22848, 168231.85614, 11988.01235, 20479.36142
323, 8147.22848, 49717.59766, 8773.75662, 4124.98893
324, 8117.00351, 9400.68071, 8359.67756, 316.79675
325, 8117.00351, 9214.41148, 8272.43146, 217.93355
326, 8117.00351, 9743.49084, 8313.88095, 312.11559
327, 8117.00351, 9499.07955, 8312.48440, 267.41937
328, 8117.00351, 9313.50272, 8288.15835, 225.42219
329, 8117.00351, 9169.58767, 8272.45281, 218.84923
330, 8117.00351, 165014.08343, 9887.84542, 15593.54989
331, 8117.00351, 15552.16454, 8381.60505, 776.68383
332, 8111.74004, 9193.91704, 8283.20523, 228.55332
333, 8117.00351, 9563.50822, 8260.17640, 250.48405
334, 8110.37999, 9392.68768, 8291.79351, 283.38085
335, 8110.37999, 9157.06855, 8274.65103, 257.39119
336, 8110.37999, 9338.56737, 8278.63911, 256.11476
337, 8110.37999, 10201.79777, 8345.20734, 344.19153
338, 8110.37999, 9485.69151, 8349.37593, 330.85911
339, 8110.37999, 9528.33765, 8286.32850, 264.38858
340, 8110.37999, 9433.52193, 8335.57435, 314.87713
